COD,NOME,ÁREA,C.C,DATA,HORA
43.7312211328094,,,8115,31/01/25,0 days 10:43:00.002000
89.8490397860789,,,8115,31/01/25,0 days 10:43:00.002000
18.9953002187829,,,8115,31/01/25,0 days 10:43:00.002000
95.7185803419496,,,8115,31/01/25,0 days 10:43:59.998000
40.796450854874,,,8115,29/01/25,0 days 10:43:59.998000
134.709099748805,,,8115,30/01/25,0 days 10:43:59.998000
41.2157037517219,,,8115,30/01/25,0 days 10:45:00.003000
90.2682926829268,,,8115,29/01/25,0 days 10:45:00.003000
90.6875455797747,,,8115,30/01/25,0 days 10:45:00.003000
41.6349566485698,,,8115,31/01/25,0 days 10:45:59.999000
19.4145531156308,,,8115,29/01/25,0 days 10:45:59.999000
135.128352645653,,,8115,31/01/25,0 days 10:45:59.999000
112.069443319018,,,6915,31/01/25,0 days 10:50:59.997000
19.8338060124787,,,8115,30/01/25,0 days 10:52:59.998000
85.237257920752,,,8114,31/01/25,0 days 10:56:00.004000
128.420306296086,,,8115,29/01/25,0 days 10:59:00.001000
31.5728871242201,,,8114,31/01/25,0 days 10:59:59.997000
97.3955919293412,,,8115,30/01/25,0 days 11:01:59.998000
61.7590956972693,,,8115,31/01/25,0 days 11:01:59.998000
128.839559192934,,,8115,30/01/25,0 days 11:01:59.998000
132.193582367717,,,8115,30/01/25,0 days 11:05:00.004000
170.764848877725,,,8515,29/01/25,0 days 11:05:00.004000
171.184101774572,,,8515,31/01/25,0 days 11:05:00.004000
172.022607568268,,,6914,29/01/25,0 days 11:06:00
30.3151284336764,,,8103,30/01/25,0 days 11:06:59.996000
169.507090187181,,,8115,31/01/25,0 days 11:06:59.996000
135.547605542501,,,8103,29/01/25,0 days 11:06:59.996000
42.8927153391135,,,8121,31/01/25,0 days 11:08:59.997000
168.249331496637,,,8515,31/01/25,0 days 11:08:59.997000
112.488696215866,,,6915,29/01/25,0 days 11:08:59.997000
172.441860465116,,,6914,30/01/25,0 days 11:08:59.997000
143.513410582611,,,6915,30/01/25,0 days 11:10:00.002000
49.1815087918321,,,8121,30/01/25,0 days 11:10:59.998000
97.8148448261891,,,8115,29/01/25,0 days 11:12:00.003000
17.0,,,8121,31/01/25,0 days 11:12:00.003000
1.0,,,8121,31/01/25,0 days 11:12:59.999000
129.258812089782,,,8115,31/01/25,0 days 11:12:59.999000
142.255651892067,,,8121,30/01/25,0 days 11:12:59.999000
62.1783485941172,,,8115,29/01/25,0 days 11:14:00.004000
16.0,,,8115,30/01/25,0 days 11:15:59.996000
191.72749372012,,,8114,31/01/25,0 days 11:17:59.997000
2.0,,,8114,31/01/25,0 days 11:17:59.997000
44.1504740296573,,,8115,30/01/25,0 days 11:19:59.998000
85.6565108175999,,,8114,30/01/25,0 days 11:19:59.998000
83.9794992302083,,,6914,31/01/25,0 days 11:19:59.998000
17.0,,,8121,29/01/25,0 days 11:21:00.003000
16.0,,,8115,29/01/25,0 days 11:21:00.003000
